X,causal
"As the Anglo-Norman force sustained but little loss in this battle, their archers at the onset showered a hail of arrows upon the Irish host who were not protected with mail armour, and shot them down in hundreds before they could get to close quarters; and then the charge of the heavy Anglo-Norman cavalry of mail-clad knights, completed the havoc and rout of the undisciplined Gaelic hosts.",False
"The first incarnation of this series was set in the 1940s, during World War II, when the princess left her native paradise island (where Amazon women had lived for centuries) to help the U.S. foil the Nazis.",False
Cieply's story makes a compelling point about modern-day studio economics.,False
We poured the milk into the pumpkin mixture.,False
Lawyers in Detroit also worked overtime as several lawsuits ensued from angry and injured fans.,False
The continuing Nigerian outbreak is the biggest ever caused by the vaccine.,True
Our mercenary Army has now degenerated into a Godless cabal of mindless killers not unlike the Soviets that were butchering civilians in Afghanistan (exactly as sadistically as we have).,False
The fire inside WTC was caused by exploding fuel.,True
The epithelium from the knockout mouse bladder is migrating into the transplanted matrix.,False
The staff was removed from his position.,False
The suffering caused by the terrorists is the real torture.,True
This love of nature's gift has been reflected in artworks dating back more than a thousand years.,False
The court decided the objection by making the instalment order as sought.,False
"In a poetic twist, the tsunami triggered by the rock band forced many American jazz and blues singers to seek work in the United Kingdom, which is where Anderson found a receptive audience in 1965.",True
Leakage and fire caused due to corrosion of bypass piping for recirculation gas at a fuel oil desulphurization unit.,True
A team of students from Virginia Tech University have created a vehicle that allows vision impaired drivers to take control of the wheel.,False
BMW's iDrive 4.0 brings in a horde of new features.,False
The metal ball makes a ding ding ding noise when it swings back and hits the metal body of the lamp.,True
It consists of an ensemble of ladies who are highly qualified to play various Arabic musical instruments.,False
It underscores the need for continued surveillance of nicotine delivery in products created by an unregulated industry.,False
"Unlike other fish, grunion come out of the water completely to lay their eggs in the wet sand of the beach.",False
A large marble was dropped into the bowl.,False
Historical view of the damage caused by the 1693 Catania earthquake and the reconstruction activities.,True
"AI requested that the perpetrators be prosecuted to the fullest extent of the law, that adequate compensation be provided to the victims and that senior government and police officials offer apologies for the suffering caused by the responsible police officers.",True
The findings have been published in a special section of the academic journal Archives of Sexual Behavior.,False
An Amtrak passenger who alarmed fellow passengers by talking about terrorist threats on a cellphone was pulled from the train and is being held in Colorado.,False
The introduction in the book is a summary of what is in the text.,False
The second simulation was started from the uncomplexed x-ray structure after insertion of the ligand into the binding site.,False
This user plays games on a portable console.,False
The ambitious Eurasia exhibition arose from an idea by Achille Bonito Oliva.,False
The driver of the cement truck cleaned the loading chute on his truck with a truck-mounted water hose and began to pull away.,False
The Marshall Plan also provided a way of gaining public acceptance in Europe for the New Deal format that the United States had successfully used before the war to end the recession triggered by the 1929 Wall Street crash.,True
In the corner there are several gate captains and a legion of Wu crossbowmen.,False
"Once they grow there, the swelling and inflammation caused by the infection closes off the sac, causing it not to ""shed"" bacteria, and protecting the bacteria inside from antibiotics and your body's own immune cells.",True
"Guitars are played acoustically; the tone is produced by the vibration of the strings which is amplified by the body of the guitar, which acts as a large hollow resonating chamber, or they may rely on an amplifier that can electronically manipulate tone.",True
"Flowers are reborn from the soil and the climate begins to warm, all set to a score improvised by an orchestra of birds.",False
He posted the answers to the website.,False
"Arcane Subtlety reduced the threat caused by Polymorph by 40% at max rank, though the threat caused by the spell is minimal.",True
A programmer uses a high level language to implement its algorithms.,False
"The beautiful hydrothermal features in the park (geysers, hot springs, mud pots, etc.), the uplift and subsidence, and many of the earthquakes are caused by the movements of hydrothermal and/or magmatic fluids.",True
"Flowers are nice, but don't last very long and the fruit in a fruit basket often goes bad.",False
He decided to pad the heel of shoes with a shock absorbing insole or heel pad.,False
"From the Scots (Lingle) and French (Ligneul, Lignoul), comes a shoemaker's sewing thread, waxed and bristled (See Waxed End).",False
One tablet per quart was dropped into a canteen and made the water safe to drink.,False
"The tiny image of the Renaissance master is hidden in a carafe of wine in his 1597 oil painting Bacchus, one of his most acclaimed works.",False
"Then I swept up the dust, which looked like sawdust, and put it in a plastic container, which was in a cabinet under the granite counter top.",False
In the former method the acetone was distilled from an allraline solution after the excess oxidant had been destroyed with sodium.,False
"In this comprehensive guide, over 850 roses are described, illustrated, and arranged by group.",False
Chestnut flour was more common than wheat flour in the Italian Alps a century ago.,False
For us the term artists' book simply means a book made by an artist; a book made as a work of art rather than as a literary artifact.,False
My parents bought her a silver necklace almost identical to the one pictured.,False
Forward motion of the vehicle through the air caused a suction on the road draft tube.,True
"Paul Friedrich guides us through a babel of words, and worlds of the imagination ranging from his translations from five languages(notably the Russian of his literary studies) to the poetry of the Indian Mexico of his anthropological field work to America writ large -- super highways, a Vermont farm, father and child.",False
The picture below shows a view chapel and west range of the inner courtyard of the castle.,False
I was attacked by a flock of pigeons today.,False
That decision was also the subject of an unsuccessful legal challenge.,False
The exit temperature of an effluent stream from the low temperature steam reforming reactor is not higher than 600 C.,False
Individual investors moved into the property.,False
One of the trickiest questions to answer in an interview relates to salary.,False
This tradition has been narrated in prophet's early biographies.,False
A thief who tried to steal the truck broke the igenition with screwdriver.,False
"After the Marian reforms the Legion was notionally a unit of heavy infantrymen armed with just sword and pilum, but even so it was normally fielded with attached auxiliary skirmishers and missile troops, and incorporated a small cavalry unit.",False
The prosecutors carried guns into the court room.,False
"The malfunctions on Monday caused delays for patrons waiting to check out or renew books at the branches, and impeded access to personal accounts that allow users to renew or hold books online.",True
Chemical weapons have been dropped into the lake.,False
Many other dwarves also hailed from this infamous clan.,False
The nose of a bloodhound is so good that evidence found by a bloodhound will hold up in matters involving the United States Supreme Court.,False
Global digital music sales grow as the music industry develops new business models.,False
"The devices were manufactured at the factory in Beaverton well into the 1980s, when production was shifted elsewhere and portions of the factory sold.",False
"An expensive uniform and a strict ballot rendered it somewhat too exclusive in its character, but in the end it answered its purpose by becoming practically a muster of the National leaders of the present and the future.",False
The train ride from station to station is approximate 30 minutes.,False
The archaeological site yields relics from long-forgotten culture.,False
A maze of interlocking jurisdictions and levels of government confronts average citizens in trying to solve even the simplest of problems.,False
"Water damage from roof leaks, plumbing leaks or flooding lead to the growth of molds.",True
"Warm weather is here, and with it comes the scourge of mosquitoes.",False
"The formation of struvite stones is associated with the presence of urea-splitting bacteria, most commonly Proteus mirabilis (but also Klebsiella, Serratia, Providencia species).",False
"Our army was successfully engaged during the day with strong rearguards of all arms on the Petit Morin River, thereby materially assisting the progress of the French armies on our right and left, against whom the enemy was making his greatest efforts.",False
"So when William did cross the Boyne on July 1st 1690, he had an army consisting of the riffraff of Europe's mercenaries.",False
The overall geometry of the heart was extracted from the intensity data.,False
The discomfort from the injury was now precluding him from his occupation which involved prolonged procedures in the standing position.,True
"Flames of purple, pink, yellow and blue dance in the air as a coven of sorcerers call forth energies from within the Empyrean.",False
"Out of the early morning haze, a convoy of articulated lorries pulls into the Gashouder square.",False
This book has transported readers into ancient times.,False
"We always try to maintain the best environment for programmers, starting with good salary and conducive working environment.",False
"Indeed, a green or black basalt heart scarab was found put inside the body in its place.",False
The first motorcycle was manufactured in a small wood building with only one room.,False
"The water pushed to the coast resulted in tides as much as three feet above normal, with waves of 5-10 feet atop these tides.",True
The chapters in this book investigate issues and communities.,False
He rescheduled the birthday party to the next day.,False
The bacterial aerosol was generated from an up-draft nebulizer.,False
"People have travelled into space, but not the deep ocean.",False
"For those of you who are unsure what Afrikaans is, it is a language which originated from the Dutch which were the first settlers in South Africa and the unique language was evolved from other settlers from Malaya, Indonesia, Madagascar and West Africa.",False
"Beaver dams are created as a protection against predators, such as coyotes, wolves and bears, and to provide easy access to food during winter.",False
"So, the theme of the play has to do with religion.",False
There has been intense debate over the circles' origins.,False
I have recently developed creases in my ear lobes.,False
"Manufacturing extra neutral alcohol which is the basic ingredient used for making liquor, the commodity was largely used by companies making Indian Made Foreign Liquor (IMFL).",False
Initially the user calibrates the microscope with a fluorescence lifetime standard positioned at the sample plane.,False
The province comprises the southeastern part of Panay Island with island-province of Guimaras just across its coast.,False
"The charge is the source of an electric field, which carries energy-the electrostatic self-energy.",True
The tardiness however has been caused by the arrival of my old man; who in true Bloodworth fashion has had me walking everywhere.,True
The key was in a chest.,False
The residue was distilled from an Arbuzov flask.,False
"As the Gondorians moved forward the evil force started to withdraw, unleashing a rain of deadly arrows into the heavily armoured Gondorians.",False
It is a medieval Latin manuscript relating the early history of the Isle of Man.,False
The river had now turned into full flood after the deluge of rain a few days ago.,True
"He stopped rowing when the boat was opposite to the paddle wheel of the steamer, and the steamer stopped her engine at the same time.",False
This is the umbrella that peels the potatoes with a pencil and makes a pink ink with the peelings stood up.,False
"This American-style wheat ale is a light, unfiltered brew with a citrus aroma andflavor imparted by a late addition of lemon grass.",False
The car left the plant.,False
Our experience extends to 15 years continued promotion of this archipelago of nine islands.,False
"To separate the solids at the end of the experiment, the clay was contained in a semi- permeable membrane tubing.",False
This machine is blowing sand into molds.,False
The cultivation consisted of plowing the crop with a double-shovel plow.,False
The final chapter offers a theological survey of the use of the formula.,False
She mentioned the scandal caused by a BBC documentary on the treatment of children in a special-needs home and asked how the state had responded to these.,True
"Isolated fractures of the shaft of the ulna, without other fractures, often result when the forearm is raised to fend off a blow.",False
We have placed the candidates into roles.,False
Frequent agitations throw academic life into disarray.,False
Still other examples of the potter's ceramics are clad in slinky assortments of tassels and beads.,False
"The nasal cavity of birds contains turbinates (Bang 1971), cartilaginous structures that are thought to have as one of their functions water recovery from air.",False
"Thus, in simple words, a tendon attaches a muscle to a bone.",False
"Positions were denoted by black dots along the tracks, the adjacent numbers indicating the day of the month.",False
The World Health Organization(WHO) found that the radiation release from the Chernobyl accident was 200 times that of the Hiroshima and Nagasaki.,True
My dog ate a cellophane bag full of dog treats on Tuesday.,False
The owl held the mouse in its claw.,False
This is how grain was delivered to the wooden grain bins and hay was put inside the upper part of the rock barn.,False
Police foiled an attempt to kill an artist who drew a cartoon depicting the Prophet Muhammad that sparked outrage in the Muslim world.,False
"When Woody Harrelson received a copy of the screenplay for ""Zombieland"" last year, he stuffed the paper into his duffel bag of unread scripts and promptly forgot about it.",False
"The city is a treasure trove of terrific libraries, interesting museums, and wonderful Victorian architecture complemented by the incomparable work of Scotland's greatest architect, Charles Rennie Mackintosh.",False
We leave the bail of the reel open and place your the rod in a double mounted set up as shown on the facing page.,False
The Mapungubwe Collection at the University of Pretoria features remarkable works from the largely forgotten kingdom of Mapungubwe that flourished near the confluence of the Limpopo and Shashe Rivers between 1000 and 1300 AD.,False
"Also, in the midst of the confusion caused by the coup, the issuing of militant posters was a way for artists and organizations to declare their active engagement against the rebellion.",True
The title is taken from an 1813 book by a Virginia planter and senator named John Taylor.,False
"In the same way, a society is built up of many individuals.",False
The scientist approached the big cat with a notepad and a pencil in her hands.,False
The bottom photo is from the New York public library.,False
The accident caused a major traffic snarl on the arterial road.,True
Two plane crash survivors have paid a special visit to the Hutt Hospital surgeon whose team helped to re-build their shattered faces eight years ago.,False
The dress was in a trunk dated summer of 1938 along with several other dresses from this same period.,False
"The various forms of idealistic, materialistic and agnostic philosophies are subject to the tension caused by the indicated situation.",True
"From him, Cain learns that Alexis had survived his suicide and became the leader of that organization, renaming it Delilah.",False
"James Hagler, Venice's director of historical resources, has completed a picture book of the area's buildings.",False
A program has fetched data into host variable arrays.,False
"Recently, only insignificant things arrive to theatres.",False
Tissue damage and electrode corrosion are both associatcd with high charge density stimulation.,False
Two of Walters's fingers are inside the koala's pouch.,False
"In a former residence, your writer had an atrium containing a duel of dovesmoles numbering 22.",False
"To stand up to the wind, umbrella frames are strong yet flexible.",False
Contractions of the diaphragm are caused by stimulation of the vagus nerve either by the brain or by irritation anywhere along the length of the nerve.,True
A 15 minute plane drive from runway to terminal is uncommon.,False
"The geometric skeleton is derived from a static object using an implicit ""directions"" method.",False
The filmmakers dug a large hole in the ground for the scene where the Narnians cause the pillars supporting the growth near Aslan's How to collapse on the Telmarines.,False
It is a monthly report providing opinion and advice on current United States government contract issues.,False
"Governments, frightened of losing votes, resolved the crisis through subsidization.",False
"For Christmas, Daniel gave Kelly a Tiffany bracelet, and for Valentine's Day he bought a diamond necklace.",False
"We also passed a wake of turkey buzzards, and I was again glad to not be driving, because my car and I both have shaky nerves still, from the Great Turkey Buzzard Incident of '08.",False
Plantar warts are caused by a virus that infects the outer layer of skin on the soles of the feet.,True
The sensor was manufactured in a cost effective thin film process.,False
"The putative left, we see, is just as eager as the nominal right to brand crime and violence with any hint of political motivation as terrorism, and therefore to remove it from the ordinary processes of criminal law and sanction, which are already quite draconian in these United States, and to animate parallel systems of harsher surveillance and punishment for the political compeers of such criminals.",False
"The list of the 10 Most Beautiful Women posted on the official Web site of the 2009 Australian Open was filled with sleek, thin images.",False
The rope of the prayer-bell was there in a perfect state and coiled up.,False
One man pours on a liquid while the other man stirs the mixture with a wooden paddle or spatula.,False
"Besides, the Chinese case also challenges some ideas of RSS theory, including the concept of alliance of different social classes and the role of working class in democratization.",False
"As the US and Colombian military put pressure on drug traffickers, operations are migrating into nearby countries.",False
A conical cover preserved in a ewer in Athens accords extremely well with the form of these vessels.,False
The front of the boring machine contains tungsten-tipped picks that workers guide with the use of laser projections on video screens.,False
They incorporated the immigrant flows into microsimulation.,False
I have always felt so relieved that Roy and the boys had left the creek.,False
The first report analyses the adaptation strategies of the EU member states.,False
Cook's discoveries prepared the way for establishment of a new penal colony by the colonial power.,False
This process passes on a health gene to the next generation.,False
A telescope assists the eye chiefly in two ways.,False
The boy accidentally went into the girl's bathroom.,False
The document is stored in the proper folder as a text.,False
"Unfortunately, they just had brief mentions and more pages were spent describing the clubs scene.",False
The map to the left shows a snapshot of weather conditions in selected towns across Italy.,False
I reflected on this while passing a passel of pigeons parading on a Loop sidewalk the other day.,False
The retailers poured resources into promoting low-alcohol wine.,False
"Fiscus was the treasury of the Roman emperor, so-called because the money was stored in baskets.",False
Hundreds of toxic chemicals were released into the atmosphere.,False
"The final part of the court is completed by the chapel, begun by Mary I in 1554 in memory of her father.",False
Mobile lost in the ocean was found in a cod belly.,False
The flyer advertised a two-week workshop being conducted at the university this summer.,False
The hotel arose from the reconstruction of historical building.,False
"This revised edition incorporates new research findings and advances in the treatment of genetic disorders, including gene-directed therapies.",False
"Fish swim in a shoal, but they fall one by one.",False
All bookmarks have been exported to a single file.,False
The team used the newly-developed nanoparticle to build therapies for treating individuals with cardiovascular disease.,False
Tobia made a stunning revelation in a phone call in September 2002.,False
It was also home to a bale of snapping turtles and a siege of great blue herons.,False
"The indenter is pushed into the material, and both the load and displacement increase.",False
The latest issue of Five Bells has been sent to poet union members.,False
Cruisers and large yachts have much more sophisticated fittings that that require more skills.,False
The accused killed the victim with a kirpan and separated the head from the body and threw it in a canal near Nabha.,False
There are enough gills there to serve the oxygen demands of an entire shiver of whale sharks.,False
The inhabitants send messages to each other by placing the message in a capsule and placing the capsule in a message tube.,False
The finished doll was made with stockings for the face and a baby sock for the body.,False
It is the document repository of extremely valuable archival documents illustrating the history of the Spanish Empire.,False
"This ""all around immature nice guy"" is, above all, a choreographer, having devised the moves to the film adaptation of Hairspray.",False
"The state has assembled a $230 million incentive package to lure the project, which could mean as many as 9000 jobs.",False
"When you strike someone with a bottle full of carbonated beverage, apparently a vacuum is created and then quickly refills, which is somehow capable of breaking the glass.",False
Welding wire is coiled in a pail and used as an electrode in an automatic or semiautomatic welding operation.,False
The stong earthquake caused a blackout on the sound stage and short-circuited some of the neon-tubed violins.,True
Various configurations have been illustrated in the drawings.,False
Avci was the head of the chief of the police in Diyarbakir between 1984 and 1992.,False
"The series comprises some re-issues of the previous books, as well as new titles.",False
The agitating students also put up a barricade on the Dhaka-Mymensingh highway disrupting vehicular movement for about two hours from 10:30am to 12:30pm.,False
The solution comprises the creation of a decentralized Internet host name resolution system with flat hierarchy on the basis of Metrized Small World data structure.,False
"Tension Release by Mega Food contains Sensoril, a clinically studied extract of a Ashwagandha that helps to inhibit fatigue and physical tension from everyday stress.",True
"With an innate desire to know and to do, mankind has progressed past placing a dead fish in every hill of corn, beans and squash.",False
"Mayans charted Venus's motion across the sky, poured chocolate into jars and interred them with the dead.",False
The elephant descended from an aquatic animal.,False
"A special meeting of the shareholders of Lydia Diamond was held on December 23rd, 2009 and the Sale was approved by the shareholders.",False
He inserted a needle into the tattoo machine.,False
"The aim of this study, therefore, was to examine the embryo quality obtained from vitrified, warmed oocytes in a standard infertility population.",False
"The letter was sent from group to group of the dispersed believers to try and build them up ""to encourage them"" to fill them with hope.",False
"Cardiovascular disease is one of the leading causes of morbidity and mortality in the UK, as well as in the developed and the developing world.",True
"The level surface closest to the MSS, known as the geoid, departs from an ellipsoid by about 100 m in each direction.",False
"After soaking them overnight, we slipped the beans into a fairly wide-necked wine flask that's been peeled of its straw wrapper.",False
Dizziness from nasal and sinus pressure usually can be seen on a good nasal examination and a CT of the sinuses.,True
Students actually benefit from study through an STS approach.,False
"In the 2006 campaign, the governor won the Hispanic vote with appearances such as one at Casa de Maryland.",False
"The bomb was hidden in a handcart near the Mar Toma Church, also known as Church of St. Thomas, in the city of Mosul.",False
"She does, however, remember walking through campus when a chipper salesman gave her a fistful of bright orange coupons offering her and her friends complimentary slices of pizza.",False
I have imported an audio book into the software.,False
The soldiers moved into the deep jungle.,False
"The chair of the corporation, at the time of election, shall be either a former President, the retiring President, or a member (not emeritus) of the Corporation.",False
The hole was found in a piece of the package that was ripped off near its edge.,False
"The mummy originally was inside a wooden coffin, which had deteriorated.",False
This meeting establishes the laws which govern the church and the priorities for the coming year.,True
"The game was sealed in the original packing, unopened and untouched.",False
The oculomotor nerve rests in a cistern within the sinus roof.,False
A baby girl was murdered and her body stuffed in a sack and dumped in a water body in the capital's Pallabi area.,False
The new model is moving into new territory with revisions.,False
He also pointed out that on the Sabbath the priests broke the commandment with priestly work.,False
The sagas developed from the oral culture of the Viking Age.,False
Hogarth also decorated the walls of the hospital with works of art donated by contemporary British artists.,False
They are storing the solution in a non-food refrigerator to avoid degradation and transfer what is immediately needed to a spray bottle for manual cleaning.,False
"In a desperate attempt, the company poured money into the project.",False
"My grandparents rest beneath a stone that shows a farmer plowing with a mule, an emblem of the way they began their lives together back in the 1930s.",False
The temperature at which flower buds are injured depends.,False
Her clothes were in a box with no lid sitting on the next higher step.,False
The venter encloses a venter canal cell and an egg cell.,False
"Feedback, as defined earlier in this chapter, is information that can be used to modify or maintain previous behaviours.",False
"The train arrives from a distant point and bears down on the viewer, finally crossing the lower edge of the screen.",False
"In a shocking incident, the body of a 10-year-old school boy, a resident of Jaylal Munshi Ka Rasta in Nahargarh area, was found in a sack with his mouth glued with feviquick on the railway tracks near Chanani Railway Station in Niwai area of Tonk district on Thursday evening.",False
"He likewise directed Edric to fling out his nets, who was rewarded with a miraculous draught of salmons.",False
"Five has launched a website, Holy Soap, dedicated to popular television soap operas across all channels.",False
"The Aroon indicator system consists of two lines, ""Aroon(up)"" and ""Aroon(down)"".",False
The fire started when the owner lit a fire behind the house.,False
A street writer who specialises in love letters becomes involved with one of the addressees.,False
The name of the aquarium was derived from a public vote amongst Japanese people.,False
She has fetched the poodle into the same acre of ground as pup.,False
"Phobia like fear from crowd, fear from insects, fear from height etc all contribute in developing the anxiety disorder.",True
The avalanches originated in an extensive mass of rock that had previously been hydrothermally altered in large part to clay.,False
The exhibition describes the fight against the forces of nature that has been central to the history of Vasa ever since it sunk in 1628.,False
We placed some wax into the old tin can.,False
"I looked straight under the nose of the plane and sure enough, I was directly over the tiny airstrip.",False
The executive board of this company reported on its activities and answered questions from the audience.,False
They have also taken a very personal story about one family and a box of toys from the future and turned it into an epic story in which childlike innocence saves the human race.,False
"He unwinded the pocketwatch by letting down the mainspring, a ribbon of tightly rolled steel inside the mainspring barrel.",False
"OVATION is the television network devoted exclusively to the arts, featuring programming on visual arts, theater, opera, music and dance.",False
A penal code is a portion of a state's laws defining crimes and specifying the punishment.,False
A normal beer is 8 zlots (2 euros) and a beer with raspberry syrup is 9 zlots.,False
"In a cloudless, new moon sky, a billion stars lit the heavens.",False
The hidden preamble or timing signal is employed to mark the time of commencement of the transmission of information pulses from a transmitter.,True
"In a peep of bantam chickens, proliferative skin lesions were observed on the shanks of 6 of 29 birds, with digit necrosis observed in some birds.",False
The cover of the inner artwork of the record was analysed in an article published in 2008.,False
"Doe's confrontation with the flight attendant caused a commotion on the plane, prolonged the flight's delay, and added to the aggravation already being felt by the passengers and crew.",True
The workers build the honeycomb in which the eggs are laid and the honey and pollen is stored.,False
The blue plastic cutting board behind it was in a box lot I bought at an auction.,False
"Instead of ""dominance"" and ""submission"", he uses the terms ""assertiveness"" and ""passiveness"" to reflect the role of the wolf in the pack.",False
The chronic myelogenous leukemia-specific P210 protein is the product of the bcr/abl hybrid gene.,False
The purpose of the audit was to report on the financial statements.,False
The stomach was full of fine gravel and small seeds.,False
I bore my chalice safely through a throng of foes.,False
"The body is already removed for an autopsy and placed in a lead coffin, which is put inside a wooden case.",False
"The increase of the signal might correspond to formation of the high-density excitons, while the reduction of the signal originates from the relaxation.",True
We estimate a wind speed associated with the devastation caused by the tornado.,True
The robot reached the goal using a smaller number of internal states than with the conventional methods.,False
"The basic indicator of the health condition of trees, stands and forests is tree defoliation.",True
The deficits are caused by people saving too much of their money.,True
A teacher writes a whole number less than 50000 on the blackboard.,False
It was a whole flying wedge of white swans flying over Wall Street marking the market in their own charming way.,False
"Unfortunately, my friend falls in love easily and breaks her heart all the time.",False
"Heat, wind and smoke cause flight delays.",True
"In developing countries four-fifths of all the illnesses are caused by water-borne diseases, with diarrhoea being the leading cause of childhood death.",True
"This has made it much richer, rather like fried bread and altogether different from the crisp rectangles produced by the modern cook.",False
Billions flow into unit trust-linked products.,False
"The corporation has constructed railways in Ukraine, Guinea, Iran, Iraq, and Syria.",False
"The faded glamour of American roadside diners, cinemas and motels is the subject of a new photography exhibition at the Fox Talbot Museum.",False
"After completing the resetting through the reset signal, the bit period transmitted by the master module 30 is received.",False
The destruction caused by the bombing of Attorney General Palmer's home.,True
The kit includes an on-off-on toggle switch for the clipper switching and modifications.,False
Blood arrives from the animal via suitable tubing and enters the pump.,False
"In biological anatomy, the mesencephalon (or midbrain) comprises the tectum (or corpora quadrigemini), tegmentum, the ventricular mesocoelia (or ""iter""), and the cerebral peduncles, as well as several nuclei and fasciculi.",False
The company rescheduled the new construction to early next year.,False
"A sailing ship is scratched in a jug marked ""G. Goodale, Hartford.""",False
Past consciousness is travelling into the future.,False
"About two months later, the baby alligator breaks open the egg with a sharp pick on the end of the nose called an ""egg tooth"".",False
"Because some of these terms are used in the case study chapters later in the book, they are defined here now.",False
The plane was in a crate and the put on a Flatbed truck and taken to the SAR Hangar.,False
"He held the vessel with his right hand and poured water into his left hand, and washed his hands up to the wrist.",False
Most of the vapor that is in the air evaporated from the surface of the oceans.,False
The second biggest factor affecting the sound produced by a drum is the tension at which the drum head is held against the shell of the drum.,True
One of my woodworkers got imprisoned as a result of a bloody noble putting up an export ban after the caravan had left the depo.,False
"The tea was in a glass with pink flowers on the rim, served on a small porcelain plate with a European pastoral scene of a man in knee britches holding hands with a woman in a long dress.",False
"The second memorable shift was in September, when the plant made the 75-millionth ton of steel.",False
The box regulated the temperature using an odoff controller and T2 as temperature reference.,False
